Configuration,K,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std
TabPFN (Full),2,0.57605,0.07202601960402921,0.4513386698286815,0.12398780003235987,0.6807053525998793,0.1368761635849022,0.3732000000000001,0.15522551336684315
TabPFN (Full),4,0.6142000000000001,0.08786216478097954,0.5735021439186494,0.1428549954482022,0.6449192584639778,0.14801169816277981,0.5509,0.18289393100920545
TabPFN (Full),6,0.59085,0.07425043770914755,0.5549796891619232,0.09189565923958544,0.6192119487097101,0.10675796079827711,0.5210000000000001,0.1223249770079684
TabPFN (Full),8,0.59655,0.08155518070607164,0.5560147638390283,0.09063585405193386,0.6309506153879567,0.11187734702531181,0.5115999999999998,0.11201892697218627
TabPFN (Full),10,0.6589,0.0418400525812289,0.6373497225270961,0.06473818854958006,0.6940432390400187,0.08064446408229624,0.6171,0.1374750522822232
TabPFN (Full),12,0.62375,0.06817248345190308,0.5930996527284499,0.09133671530686312,0.6530991226564511,0.08963499949987662,0.5602,0.11751238232628936
TabPFN (Full),14,0.63945,0.06924411527342955,0.6247806925583366,0.07607922807934148,0.6594594720627626,0.09047491021035586,0.6073999999999999,0.10981639221901253
TabPFN (Full),16,0.6294000000000001,0.0669622281588658,0.624266708119476,0.06843105536070679,0.6390623861588345,0.07970715270259582,0.6184000000000001,0.08901820038621316
TabPFN (Top 5),2,0.5792499999999999,0.09442080014488333,0.4783216426589455,0.14670770817259485,0.6661607380446887,0.15269283296448538,0.42079999999999995,0.19440411518278106
TabPFN (Top 5),4,0.6155,0.09768700015867003,0.5826338856455651,0.1431384152165157,0.6405044100275967,0.1506863265279144,0.5633,0.17342465222683884
TabPFN (Top 5),6,0.5990999999999999,0.07850407632728379,0.590521969925958,0.08378426398602871,0.6177669536578385,0.10381416699858247,0.5868,0.12370836673402492
TabPFN (Top 5),8,0.6218,0.07944973253573606,0.5951131849717833,0.08758274052674822,0.6459814044950644,0.09696436176191288,0.5605,0.1022367350808896
TabPFN (Top 5),10,0.6602500000000001,0.046434766070262486,0.6336599386332938,0.07605455860418804,0.7053202337488671,0.09214282471975907,0.6113000000000001,0.15913550829403225
TabPFN (Top 5),12,0.6279999999999999,0.0793107811082453,0.6167194822690666,0.07501604234099046,0.6471958473422736,0.10277227028803179,0.5981,0.08878620388326106
TabPFN (Top 5),14,0.6514000000000001,0.06286286662251411,0.6387109363779515,0.08199008323056352,0.6686889087001004,0.08564020217957014,0.6304000000000001,0.130867260993726
TabPFN (Top 5),16,0.6391,0.0663241283395417,0.6292850139711174,0.07176885543555182,0.651042563238076,0.08187671275132113,0.6159,0.08939681202369579
TabPFN (Top 10),2,0.57035,0.07767707190670874,0.46310496525684447,0.11642720869616713,0.6692939983880806,0.14545796543223408,0.3961,0.1617979913348741
TabPFN (Top 10),4,0.61425,0.08738699846086945,0.570231919222181,0.14200763598988314,0.6438297636870725,0.14708384184568718,0.5412000000000001,0.1750855790749198
TabPFN (Top 10),6,0.57845,0.07552779289771416,0.5464846082432293,0.09111225570000399,0.6044663722803008,0.1092786931861406,0.5188999999999999,0.1240717131339775
TabPFN (Top 10),8,0.5948,0.07877855038016376,0.5583357379387096,0.09043080523225441,0.6211534692577659,0.10163064941595625,0.5188999999999999,0.11048343767280235
TabPFN (Top 10),10,0.6601999999999999,0.04184088909189192,0.6433969109873868,0.06050682092869129,0.6919717251324911,0.08328825165321033,0.6291999999999999,0.13411398137405361
TabPFN (Top 10),12,0.627,0.06447790319171366,0.5959162467225048,0.08728672940065442,0.658755694502486,0.08862387623161848,0.5619999999999999,0.11730473136237941
TabPFN (Top 10),14,0.6444,0.062294783088152735,0.6338333782437827,0.06893467131317449,0.6620052800157754,0.08172438130888231,0.6228,0.10565869580872177
TabPFN (Top 10),16,0.6317,0.07326875186598991,0.6282957755706144,0.06713924537721569,0.6420171255092338,0.08515895974609823,0.6213,0.07471351952625441
