rank,feature,mean_importance,std_importance
1,ap_hi,0.08477476937163395,0.06401464092054343
2,age,0.06502678796564328,0.051725285343143815
3,weight,0.06267107214623407,0.034411409768232364
4,height,0.059593768312050856,0.04812898777117277
5,ap_lo,0.05601638108959399,0.046590809546205876
6,cholesterol,0.03778879202313105,0.03771322496472629
7,gender,0.03241348459224199,0.02863544519243527
8,active,0.026350993283108092,0.04069309660864457
9,gluc,0.021369149593915077,0.023262159329547637
10,smoke,0.009348604278197097,0.011315947080055316
11,alco,0.003590256154511296,0.005229443968205241
