Configuration,K,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std
XGBoost (Full),2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Full),4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Full),6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Full),8,0.5310999999999999,0.08623856445929512,0.24600710113917326,0.268356475701695,0.2930920567479196,0.3131853946783572,0.2218,0.2552629232771575
XGBoost (Full),10,0.57005,0.0733078952091792,0.47231325463309215,0.2202073695986033,0.5256807050149566,0.2535505938772432,0.466,0.2558046129372963
XGBoost (Full),12,0.6132500000000001,0.06768816366248975,0.5601468194439349,0.10038264636030375,0.6639416421129106,0.1108973088156342,0.5096,0.13841907383016258
XGBoost (Full),14,0.58945,0.0689815011434225,0.5785680410553813,0.09116054432089178,0.6005380016579038,0.08760681177115376,0.579,0.14066627172140447
XGBoost (Full),16,0.61075,0.07280238663670305,0.5928472314512354,0.07823019983571501,0.6327269998106415,0.09763682113785935,0.5739,0.11360013204217678
XGBoost (Top 5),2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Top 5),4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Top 5),6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Top 5),8,0.5274499999999999,0.08493731512121158,0.1891218740358444,0.27303715017918234,0.20989815398745343,0.3038779928957292,0.1778,0.2631690711310886
XGBoost (Top 5),10,0.59235,0.08178892039879239,0.47066632748030157,0.25067799563446935,0.5297372165896599,0.29018303951231184,0.45549999999999996,0.26863646439007494
XGBoost (Top 5),12,0.6169,0.09549654444010003,0.5657238859869056,0.15496142893443018,0.6327599402991786,0.19902189284322963,0.5248,0.15223192831991583
XGBoost (Top 5),14,0.6066499999999999,0.07622025649392686,0.5701644937063711,0.15089852242696025,0.6036196096591859,0.16905848768233905,0.5597,0.17134675368970376
XGBoost (Top 5),16,0.6231,0.08953708728789428,0.5980894577369601,0.09731583019721592,0.6469413436036,0.11608981713564157,0.5647,0.11128571336878781
XGBoost (Top 10),2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Top 10),4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Top 10),6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost (Top 10),8,0.5310999999999999,0.08623856445929512,0.24600710113917326,0.268356475701695,0.2930920567479196,0.3131853946783572,0.2218,0.2552629232771575
XGBoost (Top 10),10,0.57005,0.0733078952091792,0.47231325463309215,0.2202073695986033,0.5256807050149566,0.2535505938772432,0.466,0.2558046129372963
XGBoost (Top 10),12,0.6144000000000001,0.06795395499895499,0.5621784541765125,0.10092816123228528,0.6647125878563159,0.11087664709978066,0.5124,0.1388028818144638
XGBoost (Top 10),14,0.59505,0.07236122925987369,0.5859911541034302,0.08962053231760185,0.6062773010908569,0.0892757344130457,0.5862999999999999,0.13497299729945986
XGBoost (Top 10),16,0.6122000000000001,0.07426479650547761,0.5940615519521389,0.07804065989172869,0.6357037496683671,0.10057182989021474,0.5737,0.11140067324751679
