rank,feature,mean_importance,std_importance
1,BMI,0.05970712486727973,0.05544192186805008
2,sysBP,0.05203267806335858,0.015184181677831643
3,age,0.0506547905706123,0.038797907706974256
4,totChol,0.05020427084841883,0.03455611256733066
5,diaBP,0.04568581400247673,0.021414011337879717
6,glucose,0.042580357735856104,0.02225211388845749
7,heartRate,0.040744228462197905,0.019855200145813604
8,cigsPerDay,0.03233831365340471,0.013354177393861478
9,prevalentHyp,0.028461420500824064,0.021882633679872907
10,education,0.02838518763435926,0.014370861897031191
11,male,0.024609730910235435,0.015828505902038957
12,currentSmoker,0.019564157345887272,0.0068100876057406255
13,diabetes,0.00792496532349223,0.014098313765548917
14,BPMeds,0.004041460426159513,0.0036731617391989875
15,prevalentStroke,0.002420072105930951,0.005871031651887412
