rank,feature,mean_importance,std_importance
1,Stress Level,0.04950957559639024,0.09924169717706506
2,Country,0.04908550544920283,0.06556411247672497
3,BMI,0.028665636671555594,0.036138825689629235
4,Continent,0.02781381266687195,0.0604749093224153
5,Diastolic BP,0.027158578488999517,0.031471330771440986
6,Cholesterol,0.023908778165582567,0.020712797819691785
7,Exercise Hours Per Week,0.022333528847105155,0.018215688071239727
8,Systolic BP,0.021765816340830805,0.02026090123322523
9,Obesity,0.021746632410881622,0.042970996285358755
10,Sedentary Hours Per Day,0.021056155410277704,0.016914783113458152
11,Sleep Hours Per Day,0.02063359563089206,0.016423391411279683
12,Heart Rate,0.01997824931082041,0.014967296483280596
13,Income,0.01853123667702674,0.020270356836546197
14,Alcohol Consumption,0.01837644605927531,0.04173732651933133
15,Diet,0.017626466663982838,0.03428699406219333
16,Age,0.017493297583215835,0.014180063688481882
17,Physical Activity Days Per Week,0.016029470144690867,0.02003075462998263
18,Triglycerides,0.015082249298541437,0.012570798746885875
19,Family History,0.012968150636332512,0.01771919220121296
20,Medication Use,0.011060020244444824,0.012101257752673475
21,Sex,0.010691762248108961,0.017062363414719724
22,Previous Heart Problems,0.00787851487140069,0.01806913465127113
23,Diabetes,0.007442945181034321,0.012511849375663733
24,Hemisphere,0.00625340905778486,0.00640085637658785
25,Smoking,0.005748513120949515,0.009156407041474376
