feature,iter_11
Age,0.013661580692743487
Sex,0.01844151501557148
Cholesterol,0.038912886535730516
Heart Rate,0.005777288944857769
Diabetes,0.0
Family History,0.004761598045908256
Smoking,0.03971692352232828
Obesity,0.03355762930824146
Alcohol Consumption,0.057878075757350524
Exercise Hours Per Week,0.014230180265889979
Diet,0.001931993066579346
Previous Heart Problems,0.003425256985166436
Medication Use,0.007851449535319785
Stress Level,0.030488856052867226
Sedentary Hours Per Day,0.028644073297154272
Income,0.02075589497496231
BMI,0.01363578479368697
Triglycerides,0.009931651567810264
Physical Activity Days Per Week,0.02205640703455839
Sleep Hours Per Day,0.027555986491537815
Country,0.03221503725291478
Continent,0.03223603432742077
Hemisphere,0.005042213350448254
Systolic BP,0.027047782166010555
Diastolic BP,0.009454425986145064
