rank,feature,mean_importance,std_importance
1,Age,0.07217055636910845,0.06827297724536317
2,BMI,0.055906596171744795,0.032496755893574585
3,Income,0.0414183339695776,0.026200055461736683
4,HighBP,0.03790140244611902,0.03193628915810402
5,HighChol,0.03542475769438884,0.05162147543356237
6,GenHlth,0.034343654541371685,0.020760273957703614
7,PhysHlth,0.02843150282769017,0.02167190665039938
8,Sex,0.021562320916565878,0.027251333927009874
9,PhysActivity,0.021558639280500426,0.018348559567628632
10,MentHlth,0.021209775525248678,0.01501767562318109
11,Education,0.018430781972572453,0.009935167106657825
12,Smoker,0.0148607896458041,0.015257379640033255
13,Fruits,0.012989976055674826,0.009812964680383122
14,DiffWalk,0.011910199366054142,0.011001315830569108
15,HeartDiseaseorAttack,0.010582237301889244,0.01587157049170523
16,Veggies,0.009737139419740626,0.01361811456758092
17,NoDocbcCost,0.00501282154504739,0.008344651002367169
18,Stroke,0.0043882888298455896,0.007039415240935242
19,HvyAlcoholConsump,0.0020104828811237396,0.002568345377176532
20,CholCheck,0.0016351489085604648,0.0028938785148418865
21,AnyHealthcare,0.0009571446622637387,0.001772493258168948
